EntrySeqNo CPFile File isSelected
8 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10008.tif 1
5 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10005.tif 1
21 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10021.tif 1
25 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10025.tif 1
19 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10019.tif 1
15 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10015.tif 1
1 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10001.tif 1
23 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10023.tif 1
2 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10002.tif 0
4 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10004.tif 0
18 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10018.tif 0
24 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10024.tif 0
13 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10013.tif 0
9 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10009.tif 0
20 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10020.tif 0
10 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10010.tif 0
12 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\F\small\dscra2f_10012.tif 0
32 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10032.tif 1
40 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10040.tif 1
34 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10034.tif 1
35 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10035.tif 1
30 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10030.tif 1
45 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10045.tif 1
33 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10033.tif 1
38 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10038.tif 1
42 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10042.tif 1
28 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10028.tif 1
41 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10041.tif 1
47 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10047.tif 1
46 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10046.tif 1
48 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10048.tif 1
29 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10029.tif 1
37 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10037.tif 1
31 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10031.tif 0
49 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10049.tif 0
27 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10027.tif 0
50 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10050.tif 0
26 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10026.tif 0
43 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10043.tif 0
44 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10044.tif 0
36 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10036.tif 0
39 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen2\M\small\dscra2m_10039.tif 0
22 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10022.tif 1
6 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10006.tif 1
3 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10003.tif 1
16 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10016.tif 1
11 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10011.tif 1
7 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10007.tif 1
17 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10017.tif 1
14 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10014.tif 1
8 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10008.tif 1
5 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10005.tif 1
21 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10021.tif 1
25 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10025.tif 1
19 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10019.tif 1
15 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10015.tif 1
1 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10001.tif 1
23 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10023.tif 1
2 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10002.tif 0
4 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10004.tif 0
18 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10018.tif 0
24 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10024.tif 0
13 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10013.tif 0
9 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10009.tif 0
20 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10020.tif 0
10 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10010.tif 0
12 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\F\small\dscra3f_10012.tif 0
32 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10032.tif 1
40 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10040.tif 1
34 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10034.tif 1
35 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10035.tif 1
30 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10030.tif 1
45 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10045.tif 1
33 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10033.tif 1
38 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10038.tif 1
42 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10042.tif 1
28 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10028.tif 1
41 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10041.tif 1
47 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10047.tif 1
46 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10046.tif 1
48 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10048.tif 1
29 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10029.tif 1
37 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10037.tif 1
31 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10031.tif 0
49 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10049.tif 0
27 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10027.tif 0
50 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10050.tif 0
26 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10026.tif 0
43 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10043.tif 0
44 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10044.tif 0
36 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10036.tif 0
39 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen3\M\small\dscra3m_10039.tif 0
22 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20022.tif 1
6 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20006.tif 1
3 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20003.tif 1
16 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20016.tif 1
11 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20011.tif 1
7 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20007.tif 1
17 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20017.tif 1
14 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20014.tif 1
8 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20008.tif 1
5 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20005.tif 1
21 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20021.tif 1
25 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20025.tif 1
19 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20019.tif 1
